INFO 2024-11-24 10:25:08,242 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-24 10:25:08,245 autoreload Waiting for apps ready_event.
DEBUG 2024-11-24 10:25:08,370 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-11-24 10:25:08,386 autoreload Watching dir C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-11-24 10:25:08,390 autoreload Watching dir C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\electronic\locale with glob **/*.mo.
DEBUG 2024-11-24 10:25:08,398 autoreload Watching dir C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-11-24 10:25:08,406 autoreload Watching dir C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\rest_framework\authtoken\locale with glob **/*.mo.
DEBUG 2024-11-24 10:25:08,407 autoreload Watching dir C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\electronic\shop\locale with glob **/*.mo.
DEBUG 2024-11-24 10:25:08,408 autoreload Watching dir C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\storages\locale with glob **/*.mo.
DEBUG 2024-11-24 10:25:08,409 autoreload Watching dir C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-11-24 10:25:08,410 autoreload Watching dir C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2024-11-24 10:25:08,700 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\template\smartif.py first seen with mtime 1732123421.5341096
DEBUG 2024-11-24 10:25:08,701 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\http\multipartparser.py first seen with mtime 1732123421.5221102
DEBUG 2024-11-24 10:25:08,702 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\botocore\hooks.py first seen with mtime 1732123444.8526955
DEBUG 2024-11-24 10:25:08,703 autoreload File C:\Users\Adityakrr\AppData\Local\Programs\Python\Python313\Lib\asyncio\threads.py first seen with mtime 1728277008.0
DEBUG 2024-11-24 10:25:08,704 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\urllib3\http2\__init__.py first seen with mtime 1732123415.4290805
DEBUG 2024-11-24 10:25:08,705 autoreload File C:\Users\Adityakrr\AppData\Local\Programs\Python\Python313\Lib\asyncio\sslproto.py first seen with mtime 1728277008.0
DEBUG 2024-11-24 10:25:08,706 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\views\generic\base.py first seen with mtime 1732123421.5803156
DEBUG 2024-11-24 10:25:08,708 autoreload File C:\Users\Adityakrr\AppData\Local\Programs\Python\Python313\Lib\string.py first seen with mtime 1728277008.0
DEBUG 2024-11-24 10:25:08,710 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\boto3\docs\attr.py first seen with mtime 1732123448.9060812
DEBUG 2024-11-24 10:25:08,712 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\botocore\retries\standard.py first seen with mtime 1732123445.8028688
DEBUG 2024-11-24 10:25:08,714 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\core\checks\database.py first seen with mtime 1732123421.3775942
DEBUG 2024-11-24 10:25:08,716 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\db\backends\ddl_references.py first seen with mtime 1732123421.4195948
DEBUG 2024-11-24 10:25:08,719 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\core\files\move.py first seen with mtime 1732123421.384595
DEBUG 2024-11-24 10:25:08,722 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\db\migrations\operations\__init__.py first seen with mtime 1732123421.4545996
DEBUG 2024-11-24 10:25:08,724 autoreload File C:\Users\Adityakrr\AppData\Local\Programs\Python\Python313\Lib\_markupbase.py first seen with mtime 1728277008.0
DEBUG 2024-11-24 10:25:08,733 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\core\files\storage\__init__.py first seen with mtime 1732123421.387594
DEBUG 2024-11-24 10:25:08,735 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\electronic\shop\views.py first seen with mtime 1732423622.6648536
DEBUG 2024-11-24 10:25:08,736 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\utils\log.py first seen with mtime 1732123421.5641136
DEBUG 2024-11-24 10:25:08,737 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\core\files\storage\handler.py first seen with mtime 1732123421.3885942
DEBUG 2024-11-24 10:25:08,740 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\botocore\docs\bcdoc\restdoc.py first seen with mtime 1732123445.7988684
DEBUG 2024-11-24 10:25:08,741 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\dateutil\relativedelta.py first seen with mtime 1732123418.6832316
DEBUG 2024-11-24 10:25:08,743 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\PIL\ImageMode.py first seen with mtime 1732126883.307455
DEBUG 2024-11-24 10:25:08,745 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\botocore\vendored\six.py first seen with mtime 1732123445.8038685
DEBUG 2024-11-24 10:25:08,746 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\contrib\admin\templatetags\__init__.py first seen with mtime 1732123419.8469496
DEBUG 2024-11-24 10:25:08,747 autoreload File C:\Users\Adityakrr\AppData\Local\Programs\Python\Python313\Lib\datetime.py first seen with mtime 1728277008.0
DEBUG 2024-11-24 10:25:08,748 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\dispatch\__init__.py first seen with mtime 1732123421.478111
DEBUG 2024-11-24 10:25:08,751 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\rest_framework_simplejwt\models.py first seen with mtime 1732212784.714919
DEBUG 2024-11-24 10:25:08,752 autoreload File C:\Users\Adityakrr\AppData\Local\Programs\Python\Python313\Lib\http\server.py first seen with mtime 1728277008.0
DEBUG 2024-11-24 10:25:08,753 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\template\exceptions.py first seen with mtime 1732123421.53211
DEBUG 2024-11-24 10:25:08,754 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\contrib\admin\__init__.py first seen with mtime 1732123419.5433464
DEBUG 2024-11-24 10:25:08,755 autoreload File C:\Users\Adityakrr\AppData\Local\Programs\Python\Python313\Lib\email\mime\text.py first seen with mtime 1728277008.0
DEBUG 2024-11-24 10:25:08,756 autoreload File C:\Users\Adityakrr\AppData\Local\Programs\Python\Python313\DLLs\_elementtree.pyd first seen with mtime 1728277046.0
DEBUG 2024-11-24 10:25:08,757 autoreload File C:\Users\Adityakrr\AppData\Local\Programs\Python\Python313\Lib\encodings\__init__.py first seen with mtime 1728277008.0
DEBUG 2024-11-24 10:25:08,758 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\rest_framework_simplejwt\token_blacklist\__init__.py first seen with mtime 1732212784.807903
DEBUG 2024-11-24 10:25:08,759 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\six.py first seen with mtime 1732123417.9218814
DEBUG 2024-11-24 10:25:08,761 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\contrib\admin\templatetags\admin_urls.py first seen with mtime 1732123419.8489494
DEBUG 2024-11-24 10:25:08,762 autoreload File C:\Users\Adityakrr\AppData\Local\Programs\Python\Python313\Lib\zoneinfo\_tzpath.py first seen with mtime 1728277008.0
DEBUG 2024-11-24 10:25:08,763 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\rest_framework\__init__.py first seen with mtime 1732123441.989866
DEBUG 2024-11-24 10:25:08,764 autoreload File C:\Users\Adityakrr\AppData\Local\Programs\Python\Python313\Lib\functools.py first seen with mtime 1728277008.0
DEBUG 2024-11-24 10:25:08,766 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\sqlparse\tokens.py first seen with mtime 1732123417.0316744
DEBUG 2024-11-24 10:25:08,767 autoreload File C:\Users\Adityakrr\AppData\Local\Programs\Python\Python313\Lib\concurrent\futures\__init__.py first seen with mtime 1728277008.0
DEBUG 2024-11-24 10:25:08,768 autoreload File C:\Users\Adityakrr\AppData\Local\Programs\Python\Python313\Lib\glob.py first seen with mtime 1728277008.0
DEBUG 2024-11-24 10:25:08,769 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\boto3\resources\base.py first seen with mtime 1732123448.9396174
DEBUG 2024-11-24 10:25:08,770 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\botocore\endpoint.py first seen with mtime 1732123444.8447
DEBUG 2024-11-24 10:25:08,771 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\utils\safestring.py first seen with mtime 1732123421.5671139
DEBUG 2024-11-24 10:25:08,772 autoreload File C:\Users\Adityakrr\AppData\Local\Programs\Python\Python313\Lib\importlib\_abc.py first seen with mtime 1728277008.0
DEBUG 2024-11-24 10:25:08,773 autoreload File C:\Users\Adityakrr\AppData\Local\Programs\Python\Python313\Lib\asyncio\streams.py first seen with mtime 1728277008.0
DEBUG 2024-11-24 10:25:08,774 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\botocore\signers.py first seen with mtime 1732123444.8712518
DEBUG 2024-11-24 10:25:08,777 autoreload File C:\Users\Adityakrr\AppData\Local\Programs\Python\Python313\Lib\pathlib\_abc.py first seen with mtime 1728277008.0
DEBUG 2024-11-24 10:25:08,779 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\forms\models.py first seen with mtime 1732123421.4821098
DEBUG 2024-11-24 10:25:08,780 autoreload File C:\Users\Adityakrr\AppData\Local\Programs\Python\Python313\Lib\heapq.py first seen with mtime 1728277008.0
DEBUG 2024-11-24 10:25:08,781 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\urllib3\_request_methods.py first seen with mtime 1732123415.414078
DEBUG 2024-11-24 10:25:08,782 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1732123419.5443463
DEBUG 2024-11-24 10:25:08,787 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\views\i18n.py first seen with mtime 1732123421.5753152
DEBUG 2024-11-24 10:25:08,788 autoreload File C:\Users\Adityakrr\AppData\Local\Programs\Python\Python313\Lib\asyncio\__init__.py first seen with mtime 1728277008.0
DEBUG 2024-11-24 10:25:08,789 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\botocore\retries\base.py first seen with mtime 1732123445.80087
DEBUG 2024-11-24 10:25:08,790 autoreload File C:\Users\Adityakrr\AppData\Local\Programs\Python\Python313\Lib\collections\__init__.py first seen with mtime 1728277008.0
DEBUG 2024-11-24 10:25:08,791 autoreload File C:\Users\Adityakrr\AppData\Local\Programs\Python\Python313\Lib\http\__init__.py first seen with mtime 1728277008.0
DEBUG 2024-11-24 10:25:08,794 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\MySQLdb\constants\FLAG.py first seen with mtime 1732123313.4717405
DEBUG 2024-11-24 10:25:08,796 autoreload File C:\Users\Adityakrr\AppData\Local\Programs\Python\Python313\Lib\numbers.py first seen with mtime 1728277008.0
DEBUG 2024-11-24 10:25:08,797 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\botocore\regions.py first seen with mtime 1732123444.8637135
DEBUG 2024-11-24 10:25:08,798 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1732123421.3600843
DEBUG 2024-11-24 10:25:08,800 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\rest_framework_simplejwt\exceptions.py first seen with mtime 1732212784.7129214
DEBUG 2024-11-24 10:25:08,801 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\rest_framework\authtoken\models.py first seen with mtime 1732123442.0444016
DEBUG 2024-11-24 10:25:08,802 autoreload File C:\Users\Adityakrr\AppData\Local\Programs\Python\Python313\Lib\pprint.py first seen with mtime 1728277008.0
DEBUG 2024-11-24 10:25:08,803 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\utils\dateformat.py first seen with mtime 1732123421.5551138
DEBUG 2024-11-24 10:25:08,804 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\dateutil\parser\__init__.py first seen with mtime 1732123418.6912172
DEBUG 2024-11-24 10:25:08,805 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\contrib\auth\decorators.py first seen with mtime 1732123420.0333798
DEBUG 2024-11-24 10:25:08,807 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\sqlparse\engine\filter_stack.py first seen with mtime 1732123417.0326726
DEBUG 2024-11-24 10:25:08,808 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\botocore\httpchecksum.py first seen with mtime 1732123444.853695
DEBUG 2024-11-24 10:25:08,811 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\core\cache\backends\locmem.py first seen with mtime 1732123421.3755944
DEBUG 2024-11-24 10:25:08,813 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1732123421.3855944
DEBUG 2024-11-24 10:25:08,815 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\http\response.py first seen with mtime 1732123421.5231102
DEBUG 2024-11-24 10:25:08,816 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\botocore\translate.py first seen with mtime 1732123444.873247
DEBUG 2024-11-24 10:25:08,817 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1732123421.466599
DEBUG 2024-11-24 10:25:08,818 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\template\backends\base.py first seen with mtime 1732123421.5351102
DEBUG 2024-11-24 10:25:08,819 autoreload File C:\Users\Adityakrr\AppData\Local\Programs\Python\Python313\Lib\xml\__init__.py first seen with mtime 1728277008.0
DEBUG 2024-11-24 10:25:08,820 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\PIL\Image.py first seen with mtime 1732126883.3004713
DEBUG 2024-11-24 10:25:08,821 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1732123420.0293791
DEBUG 2024-11-24 10:25:08,822 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1732123421.3985949
DEBUG 2024-11-24 10:25:08,823 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\sqlparse\filters\right_margin.py first seen with mtime 1732123417.0366716
DEBUG 2024-11-24 10:25:08,824 autoreload File C:\Users\Adityakrr\Documents\freelance_project\electronic_proj\backend\env\Lib\site-packages\botocore\retries\quota.py first seen with mtime 1732123445.8018694
